variant,pooling,fit_count,val_fraction,scaler,pca_dim,detector,detector_params,threshold_method,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
mask_edge0,global,105,0.65,robust,40,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.9,0.968,0.06241402249560293,0.9774928774928775,0.033291911829326934,1.0,0.0,0.9883861236802414,0.01724345410199439,0.08571428571428572,0.12777531299998798,25.0,0.0,0.6,0.8944271909999159,6.4,0.8944271909999159,0.0,0.0
mask_edge0,global,105,0.65,robust,40,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.9,0.968,0.06241402249560293,0.9774928774928775,0.033291911829326934,1.0,0.0,0.9883861236802414,0.01724345410199439,0.08571428571428572,0.12777531299998798,25.0,0.0,0.6,0.8944271909999159,6.4,0.8944271909999159,0.0,0.0
mask_edge0,global,105,0.65,robust,40,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.85,0.968,0.06241402249560293,0.9708791208791208,0.04668713359614942,1.0,0.0,0.9847576766555679,0.024631344826589095,0.11428571428571428,0.18626292586293283,25.0,0.0,0.8,1.3038404810405297,6.2,1.3038404810405297,0.0,0.0
mask_edge0,global,105,0.65,robust,40,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.88,0.968,0.06241402249560293,0.9708791208791208,0.04668713359614942,1.0,0.0,0.9847576766555679,0.024631344826589095,0.11428571428571428,0.18626292586293283,25.0,0.0,0.8,1.3038404810405297,6.2,1.3038404810405297,0.0,0.0
mask_edge0,global,105,0.65,robust,40,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.85,0.968,0.06241402249560293,0.9708791208791208,0.04668713359614942,1.0,0.0,0.9847576766555679,0.024631344826589095,0.11428571428571428,0.18626292586293283,25.0,0.0,0.8,1.3038404810405297,6.2,1.3038404810405297,0.0,0.0
mask_edge0,global,105,0.65,robust,40,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.88,0.968,0.06241402249560293,0.9708791208791208,0.04668713359614942,1.0,0.0,0.9847576766555679,0.024631344826589095,0.11428571428571428,0.18626292586293283,25.0,0.0,0.8,1.3038404810405297,6.2,1.3038404810405297,0.0,0.0
gaussian_edge0,global,105,0.65,standard,40,iforest,n=300;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.85,0.968,0.052153619241621124,0.9637566137566138,0.050986873444862496,1.0,0.0,0.9809869375907112,0.026813216955365985,0.14285714285714285,0.20203050891044214,25.0,0.0,1.0,1.4142135623730951,6.0,1.4142135623730951,0.0,0.0
gaussian_edge0,global,105,0.65,standard,40,iforest,n=300;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.88,0.968,0.052153619241621124,0.9637566137566138,0.050986873444862496,1.0,0.0,0.9809869375907112,0.026813216955365985,0.14285714285714285,0.20203050891044214,25.0,0.0,1.0,1.4142135623730951,6.0,1.4142135623730951,0.0,0.0
gaussian_edge0,global,105,0.65,standard,40,iforest,n=300;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.9,0.968,0.052153619241621124,0.9637566137566138,0.050986873444862496,1.0,0.0,0.9809869375907112,0.026813216955365985,0.14285714285714285,0.20203050891044214,25.0,0.0,1.0,1.4142135623730951,6.0,1.4142135623730951,0.0,0.0
gaussian_edge0,global,105,0.65,standard,40,iforest,n=300;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.85,0.968,0.052153619241621124,0.9637566137566138,0.050986873444862496,1.0,0.0,0.9809869375907112,0.026813216955365985,0.14285714285714285,0.20203050891044214,25.0,0.0,1.0,1.4142135623730951,6.0,1.4142135623730951,0.0,0.0
